Distribution,Doors,Won % switch, Won % non-switch
normal,3,50.0,50.0
binomial,3,38.0,62.0
exponential,3,63.0,37.0
poisson,3,56.00000000000001,44.0
laplace,3,33.0,67.0
logistic,3,22.0,78.0
uniform,3,41.0,59.0
rayleigh,3,59.0,41.0
normal,13,89.0,11.0
binomial,13,93.0,7.000000000000001
exponential,13,94.0,6.0
poisson,13,96.0,4.0
laplace,13,88.0,12.0
logistic,13,95.0,5.0
uniform,13,95.0,5.0
rayleigh,13,95.0,5.0
normal,23,92.0,8.0
binomial,23,88.0,12.0
exponential,23,94.0,6.0
poisson,23,98.0,2.0
laplace,23,93.0,7.000000000000001
logistic,23,95.0,5.0
uniform,23,90.0,10.0
rayleigh,23,94.0,6.0
normal,33,97.0,3.0
binomial,33,98.0,2.0
exponential,33,93.0,7.000000000000001
poisson,33,94.0,6.0
laplace,33,93.0,7.000000000000001
logistic,33,95.0,5.0
uniform,33,98.0,2.0
rayleigh,33,99.0,1.0
normal,43,99.0,1.0
binomial,43,94.0,6.0
exponential,43,99.0,1.0
poisson,43,97.0,3.0
laplace,43,97.0,3.0
logistic,43,99.0,1.0
uniform,43,98.0,2.0
rayleigh,43,99.0,1.0
normal,53,99.0,1.0
binomial,53,98.0,2.0
exponential,53,98.0,2.0
poisson,53,100.0,0.0
laplace,53,100.0,0.0
logistic,53,98.0,2.0
uniform,53,99.0,1.0
rayleigh,53,97.0,3.0
normal,63,99.0,1.0
binomial,63,99.0,1.0
exponential,63,98.0,2.0
poisson,63,98.0,2.0
laplace,63,99.0,1.0
logistic,63,100.0,0.0
uniform,63,98.0,2.0
rayleigh,63,100.0,0.0
normal,73,99.0,1.0
binomial,73,100.0,0.0
exponential,73,98.0,2.0
poisson,73,96.0,4.0
laplace,73,99.0,1.0
logistic,73,98.0,2.0
uniform,73,95.0,5.0
rayleigh,73,100.0,0.0
normal,83,97.0,3.0
binomial,83,99.0,1.0
exponential,83,100.0,0.0
poisson,83,100.0,0.0
laplace,83,98.0,2.0
logistic,83,97.0,3.0
