Distribution,Trials,Won % switch, Won % non-switch
normal,2,100.0,0.0
binomial,2,100.0,0.0
exponential,2,100.0,0.0
poisson,2,100.0,0.0
laplace,2,100.0,0.0
logistic,2,100.0,0.0
uniform,2,0.0,100.0
rayleigh,2,50.0,50.0
normal,12,41.66666666666667,58.333333333333336
binomial,12,50.0,50.0
exponential,12,66.66666666666666,33.33333333333333
poisson,12,66.66666666666666,33.33333333333333
laplace,12,33.33333333333333,66.66666666666666
logistic,12,50.0,50.0
uniform,12,33.33333333333333,66.66666666666666
rayleigh,12,41.66666666666667,58.333333333333336
normal,22,50.0,50.0
binomial,22,68.18181818181817,31.818181818181817
exponential,22,45.45454545454545,54.54545454545454
poisson,22,72.72727272727273,27.27272727272727
laplace,22,68.18181818181817,31.818181818181817
logistic,22,40.909090909090914,59.09090909090909
uniform,22,59.09090909090909,40.909090909090914
rayleigh,22,54.54545454545454,45.45454545454545
normal,32,56.25,43.75
binomial,32,46.875,53.125
exponential,32,50.0,50.0
poisson,32,40.625,59.375
laplace,32,40.625,59.375
logistic,32,68.75,31.25
uniform,32,31.25,68.75
rayleigh,32,43.75,56.25
normal,42,57.14285714285714,42.857142857142854
binomial,42,52.38095238095239,47.61904761904761
exponential,42,47.61904761904761,52.38095238095239
poisson,42,50.0,50.0
laplace,42,57.14285714285714,42.857142857142854
logistic,42,45.23809523809524,54.761904761904766
uniform,42,33.33333333333333,66.66666666666666
rayleigh,42,52.38095238095239,47.61904761904761
normal,52,53.84615384615385,46.15384615384615
binomial,52,71.15384615384616,28.846153846153843
exponential,52,53.84615384615385,46.15384615384615
poisson,52,80.76923076923077,19.230769230769234
laplace,52,59.61538461538461,40.38461538461539
logistic,52,51.92307692307693,48.07692307692308
uniform,52,51.92307692307693,48.07692307692308
rayleigh,52,51.92307692307693,48.07692307692308
normal,62,41.935483870967744,58.06451612903226
binomial,62,43.54838709677419,56.451612903225815
exponential,62,41.935483870967744,58.06451612903226
poisson,62,29.03225806451613,70.96774193548387
laplace,62,51.61290322580645,48.38709677419355
logistic,62,75.80645161290323,24.193548387096776
uniform,62,37.096774193548384,62.903225806451616
rayleigh,62,51.61290322580645,48.38709677419355
normal,72,70.83333333333334,29.166666666666668
binomial,72,45.83333333333333,54.166666666666664
exponential,72,52.77777777777778,47.22222222222222
poisson,72,58.333333333333336,41.66666666666667
laplace,72,36.11111111111111,63.888888888888886
logistic,72,66.66666666666666,33.33333333333333
uniform,72,58.333333333333336,41.66666666666667
rayleigh,72,26.38888888888889,73.61111111111111
normal,82,42.68292682926829,57.3170731707317
binomial,82,21.951219512195124,78.04878048780488
exponential,82,50.0,50.0
poisson,82,40.243902439024396,59.756097560975604
laplace,82,54.87804878048781,45.1219512195122
logistic,82,45.1219512195122,54.87804878048781
uniform,82,67.07317073170732,32.926829268292686
rayleigh,82,50.0,50.0
normal,92,50.0,50.0
binomial,92,53.2608695652174,46.73913043478261
exponential,92,47.82608695652174,52.17391304347826
poisson,92,61.95652173913043,38.04347826086957
laplace,92,52.17391304347826,47.82608695652174
logistic,92,70.65217391304348,29.347826086956523
uniform,92,46.73913043478261,53.2608695652174
