Distribution,Doors,Won % switch, Won % non-switch
rayleigh,124,99.0,1.0
normal,125,100.0,0.0
binomial,125,99.0,1.0
exponential,125,100.0,0.0
poisson,125,99.0,1.0
laplace,125,95.0,5.0
logistic,125,99.0,1.0
uniform,125,99.0,1.0
rayleigh,125,99.0,1.0
normal,126,100.0,0.0
binomial,126,100.0,0.0
exponential,126,98.0,2.0
poisson,126,99.0,1.0
laplace,126,100.0,0.0
logistic,126,100.0,0.0
uniform,126,96.0,4.0
rayleigh,126,100.0,0.0
normal,127,99.0,1.0
binomial,127,99.0,1.0
exponential,127,99.0,1.0
poisson,127,98.0,2.0
laplace,127,100.0,0.0
logistic,127,100.0,0.0
uniform,127,100.0,0.0
rayleigh,127,100.0,0.0
normal,128,99.0,1.0
binomial,128,100.0,0.0
exponential,128,99.0,1.0
poisson,128,98.0,2.0
laplace,128,98.0,2.0
logistic,128,99.0,1.0
uniform,128,98.0,2.0
rayleigh,128,100.0,0.0
normal,129,98.0,2.0
binomial,129,100.0,0.0
exponential,129,98.0,2.0
poisson,129,99.0,1.0
laplace,129,99.0,1.0
logistic,129,98.0,2.0
uniform,129,100.0,0.0
rayleigh,129,99.0,1.0
normal,130,100.0,0.0
binomial,130,98.0,2.0
exponential,130,100.0,0.0
poisson,130,99.0,1.0
laplace,130,100.0,0.0
logistic,130,98.0,2.0
uniform,130,98.0,2.0
rayleigh,130,100.0,0.0
normal,131,99.0,1.0
binomial,131,100.0,0.0
exponential,131,98.0,2.0
poisson,131,100.0,0.0
laplace,131,96.0,4.0
logistic,131,98.0,2.0
uniform,131,98.0,2.0
rayleigh,131,99.0,1.0
normal,132,99.0,1.0
binomial,132,100.0,0.0
exponential,132,97.0,3.0
poisson,132,98.0,2.0
laplace,132,99.0,1.0
logistic,132,99.0,1.0
uniform,132,97.0,3.0
rayleigh,132,98.0,2.0
normal,133,100.0,0.0
binomial,133,100.0,0.0
exponential,133,100.0,0.0
poisson,133,100.0,0.0
laplace,133,98.0,2.0
logistic,133,99.0,1.0
uniform,133,99.0,1.0
rayleigh,133,99.0,1.0
normal,134,99.0,1.0
binomial,134,98.0,2.0
exponential,134,98.0,2.0
poisson,134,99.0,1.0
laplace,134,100.0,0.0
logistic,134,100.0,0.0
uniform,134,99.0,1.0
rayleigh,134,100.0,0.0
normal,135,98.0,2.0
binomial,135,98.0,2.0
exponential,135,99.0,1.0
poisson,135,96.0,4.0
laplace,135,100.0,0.0
logistic,135,100.0,0.0
uniform,135,99.0,1.0
rayleigh,135,97.0,3.0
normal,136,96.0,4.0
binomial,136,100.0,0.0
exponential,136,100.0,0.0
poisson,136,99.0,1.0
laplace,136,99.0,1.0
logistic,136,99.0,1.0
uniform,136,100.0,0.0
rayleigh,136,97.0,3.0
normal,137,100.0,0.0
binomial,137,100.0,0.0
exponential,137,99.0,1.0
poisson,137,100.0,0.0
laplace,137,100.0,0.0
logistic,137,97.0,3.0
uniform,137,98.0,2.0
rayleigh,137,100.0,0.0
normal,138,98.0,2.0
binomial,138,100.0,0.0
exponential,138,100.0,0.0
poisson,138,100.0,0.0
laplace,138,100.0,0.0
logistic,138,100.0,0.0
uniform,138,99.0,1.0
rayleigh,138,100.0,0.0
normal,139,99.0,1.0
binomial,139,99.0,1.0
exponential,139,100.0,0.0
poisson,139,99.0,1.0
laplace,139,100.0,0.0
logistic,139,98.0,2.0
uniform,139,99.0,1.0
rayleigh,139,100.0,0.0
normal,140,100.0,0.0
binomial,140,100.0,0.0
exponential,140,100.0,0.0
poisson,140,98.0,2.0
laplace,140,99.0,1.0
logistic,140,100.0,0.0
uniform,140,98.0,2.0
rayleigh,140,100.0,0.0
normal,141,100.0,0.0
binomial,141,99.0,1.0
exponential,141,100.0,0.0
poisson,141,100.0,0.0
laplace,141,99.0,1.0
logistic,141,100.0,0.0
uniform,141,99.0,1.0
rayleigh,141,100.0,0.0
normal,142,99.0,1.0
binomial,142,99.0,1.0
exponential,142,100.0,0.0
poisson,142,99.0,1.0
laplace,142,100.0,0.0
logistic,142,99.0,1.0
uniform,142,100.0,0.0
rayleigh,142,100.0,0.0
normal,143,99.0,1.0
binomial,143,100.0,0.0
exponential,143,99.0,1.0
poisson,143,100.0,0.0
laplace,143,98.0,2.0
logistic,143,99.0,1.0
uniform,143,99.0,1.0
rayleigh,143,99.0,1.0
normal,144,100.0,0.0
binomial,144,100.0,0.0
exponential,144,100.0,0.0
poisson,144,100.0,0.0
laplace,144,97.0,3.0
logistic,144,100.0,0.0
uniform,144,100.0,0.0
rayleigh,144,99.0,1.0
normal,145,99.0,1.0
binomial,145,99.0,1.0
exponential,145,98.0,2.0
poisson,145,99.0,1.0
laplace,145,100.0,0.0
logistic,145,100.0,0.0
uniform,145,99.0,1.0
rayleigh,145,98.0,2.0
normal,146,99.0,1.0
binomial,146,100.0,0.0
exponential,146,100.0,0.0
poisson,146,98.0,2.0
laplace,146,98.0,2.0
logistic,146,99.0,1.0
uniform,146,99.0,1.0
rayleigh,146,100.0,0.0
normal,147,100.0,0.0
binomial,147,100.0,0.0
exponential,147,100.0,0.0
poisson,147,99.0,1.0
laplace,147,96.0,4.0
logistic,147,96.0,4.0
uniform,147,100.0,0.0
rayleigh,147,99.0,1.0
normal,148,100.0,0.0
binomial,148,99.0,1.0
exponential,148,99.0,1.0
poisson,148,100.0,0.0
laplace,148,100.0,0.0
logistic,148,98.0,2.0
uniform,148,99.0,1.0
rayleigh,148,96.0,4.0
normal,149,100.0,0.0
binomial,149,97.0,3.0
exponential,149,99.0,1.0
poisson,149,99.0,1.0
laplace,149,100.0,0.0
logistic,149,99.0,1.0
uniform,149,100.0,0.0
rayleigh,149,100.0,0.0
normal,150,100.0,0.0
binomial,150,100.0,0.0
exponential,150,100.0,0.0
poisson,150,99.0,1.0
laplace,150,98.0,2.0
logistic,150,100.0,0.0
uniform,150,99.0,1.0
rayleigh,150,99.0,1.0
normal,151,100.0,0.0
binomial,151,100.0,0.0
exponential,151,100.0,0.0
poisson,151,100.0,0.0
laplace,151,99.0,1.0
logistic,151,100.0,0.0
uniform,151,99.0,1.0
rayleigh,151,100.0,0.0
normal,152,100.0,0.0
binomial,152,100.0,0.0
exponential,152,100.0,0.0
poisson,152,100.0,0.0
laplace,152,100.0,0.0
logistic,152,99.0,1.0
uniform,152,99.0,1.0
rayleigh,152,99.0,1.0
normal,153,97.0,3.0
binomial,153,99.0,1.0
exponential,153,100.0,0.0
poisson,153,100.0,0.0
laplace,153,96.0,4.0
logistic,153,100.0,0.0
uniform,153,99.0,1.0
rayleigh,153,98.0,2.0
normal,154,99.0,1.0
binomial,154,100.0,0.0
exponential,154,100.0,0.0
poisson,154,96.0,4.0
laplace,154,98.0,2.0
logistic,154,99.0,1.0
uniform,154,100.0,0.0
rayleigh,154,100.0,0.0
normal,155,100.0,0.0
binomial,155,98.0,2.0
exponential,155,100.0,0.0
poisson,155,99.0,1.0
laplace,155,100.0,0.0
logistic,155,99.0,1.0
uniform,155,100.0,0.0
rayleigh,155,98.0,2.0
normal,156,99.0,1.0
binomial,156,100.0,0.0
exponential,156,100.0,0.0
poisson,156,100.0,0.0
laplace,156,96.0,4.0
logistic,156,100.0,0.0
uniform,156,98.0,2.0
rayleigh,156,98.0,2.0
normal,157,98.0,2.0
binomial,157,97.0,3.0
exponential,157,100.0,0.0
poisson,157,99.0,1.0
laplace,157,99.0,1.0
logistic,157,100.0,0.0
uniform,157,99.0,1.0
rayleigh,157,100.0,0.0
normal,158,100.0,0.0
binomial,158,98.0,2.0
exponential,158,100.0,0.0
poisson,158,100.0,0.0
laplace,158,99.0,1.0
logistic,158,99.0,1.0
uniform,158,99.0,1.0
rayleigh,158,98.0,2.0
normal,159,100.0,0.0
binomial,159,99.0,1.0
exponential,159,98.0,2.0
poisson,159,99.0,1.0
laplace,159,100.0,0.0
logistic,159,100.0,0.0
uniform,159,100.0,0.0
rayleigh,159,99.0,1.0
normal,160,100.0,0.0
binomial,160,99.0,1.0
exponential,160,99.0,1.0
poisson,160,99.0,1.0
laplace,160,100.0,0.0
logistic,160,100.0,0.0
uniform,160,99.0,1.0
rayleigh,160,100.0,0.0
normal,161,99.0,1.0
binomial,161,100.0,0.0
exponential,161,98.0,2.0
poisson,161,100.0,0.0
laplace,161,100.0,0.0
logistic,161,99.0,1.0
uniform,161,100.0,0.0
rayleigh,161,99.0,1.0
normal,162,100.0,0.0
binomial,162,100.0,0.0
exponential,162,99.0,1.0
poisson,162,100.0,0.0
laplace,162,99.0,1.0
logistic,162,100.0,0.0
uniform,162,98.0,2.0
rayleigh,162,100.0,0.0
normal,163,100.0,0.0
binomial,163,99.0,1.0
exponential,163,100.0,0.0
poisson,163,99.0,1.0
laplace,163,100.0,0.0
logistic,163,100.0,0.0
uniform,163,99.0,1.0
rayleigh,163,98.0,2.0
normal,164,100.0,0.0
binomial,164,100.0,0.0
exponential,164,100.0,0.0
poisson,164,99.0,1.0
laplace,164,100.0,0.0
logistic,164,100.0,0.0
uniform,164,99.0,1.0
rayleigh,164,99.0,1.0
normal,165,99.0,1.0
binomial,165,100.0,0.0
exponential,165,99.0,1.0
poisson,165,100.0,0.0
laplace,165,100.0,0.0
logistic,165,100.0,0.0
uniform,165,100.0,0.0
rayleigh,165,99.0,1.0
normal,166,99.0,1.0
binomial,166,99.0,1.0
exponential,166,100.0,0.0
poisson,166,97.0,3.0
laplace,166,98.0,2.0
logistic,166,100.0,0.0
uniform,166,100.0,0.0
rayleigh,166,98.0,2.0
normal,167,99.0,1.0
binomial,167,99.0,1.0
exponential,167,100.0,0.0
poisson,167,99.0,1.0
laplace,167,99.0,1.0
logistic,167,98.0,2.0
uniform,167,99.0,1.0
rayleigh,167,100.0,0.0
normal,168,98.0,2.0
binomial,168,99.0,1.0
exponential,168,98.0,2.0
poisson,168,100.0,0.0
laplace,168,99.0,1.0
logistic,168,100.0,0.0
uniform,168,99.0,1.0
rayleigh,168,100.0,0.0
normal,169,100.0,0.0
binomial,169,100.0,0.0
exponential,169,99.0,1.0
poisson,169,100.0,0.0
laplace,169,100.0,0.0
logistic,169,100.0,0.0
uniform,169,100.0,0.0
rayleigh,169,99.0,1.0
normal,170,100.0,0.0
binomial,170,98.0,2.0
exponential,170,99.0,1.0
poisson,170,100.0,0.0
laplace,170,100.0,0.0
logistic,170,100.0,0.0
uniform,170,99.0,1.0
rayleigh,170,99.0,1.0
normal,171,100.0,0.0
binomial,171,100.0,0.0
exponential,171,99.0,1.0
poisson,171,99.0,1.0
laplace,171,100.0,0.0
logistic,171,98.0,2.0
uniform,171,98.0,2.0
rayleigh,171,99.0,1.0
normal,172,100.0,0.0
binomial,172,98.0,2.0
exponential,172,99.0,1.0
poisson,172,100.0,0.0
laplace,172,100.0,0.0
logistic,172,99.0,1.0
uniform,172,98.0,2.0
rayleigh,172,100.0,0.0
normal,173,99.0,1.0
binomial,173,100.0,0.0
exponential,173,100.0,0.0
poisson,173,99.0,1.0
laplace,173,100.0,0.0
logistic,173,98.0,2.0
uniform,173,100.0,0.0
rayleigh,173,99.0,1.0
normal,174,99.0,1.0
binomial,174,98.0,2.0
exponential,174,99.0,1.0
poisson,174,100.0,0.0
laplace,174,99.0,1.0
logistic,174,98.0,2.0
uniform,174,100.0,0.0
rayleigh,174,100.0,0.0
normal,175,100.0,0.0
binomial,175,99.0,1.0
exponential,175,99.0,1.0
poisson,175,100.0,0.0
laplace,175,100.0,0.0
logistic,175,100.0,0.0
uniform,175,99.0,1.0
rayleigh,175,98.0,2.0
normal,176,100.0,0.0
binomial,176,100.0,0.0
exponential,176,100.0,0.0
poisson,176,100.0,0.0
laplace,176,100.0,0.0
logistic,176,100.0,0.0
uniform,176,100.0,0.0
rayleigh,176,100.0,0.0
normal,177,100.0,0.0
binomial,177,100.0,0.0
exponential,177,98.0,2.0
poisson,177,100.0,0.0
laplace,177,97.0,3.0
logistic,177,99.0,1.0
uniform,177,100.0,0.0
rayleigh,177,100.0,0.0
normal,178,100.0,0.0
binomial,178,99.0,1.0
exponential,178,100.0,0.0
poisson,178,100.0,0.0
laplace,178,99.0,1.0
logistic,178,100.0,0.0
uniform,178,99.0,1.0
rayleigh,178,100.0,0.0
normal,179,98.0,2.0
binomial,179,99.0,1.0
exponential,179,99.0,1.0
poisson,179,100.0,0.0
laplace,179,100.0,0.0
logistic,179,100.0,0.0
uniform,179,98.0,2.0
rayleigh,179,100.0,0.0
normal,180,100.0,0.0
binomial,180,100.0,0.0
exponential,180,100.0,0.0
poisson,180,99.0,1.0
laplace,180,100.0,0.0
logistic,180,100.0,0.0
uniform,180,99.0,1.0
rayleigh,180,100.0,0.0
normal,181,100.0,0.0
binomial,181,100.0,0.0
exponential,181,98.0,2.0
poisson,181,99.0,1.0
laplace,181,100.0,0.0
logistic,181,98.0,2.0
uniform,181,97.0,3.0
rayleigh,181,100.0,0.0
normal,182,99.0,1.0
binomial,182,100.0,0.0
exponential,182,99.0,1.0
poisson,182,99.0,1.0
laplace,182,99.0,1.0
logistic,182,100.0,0.0
uniform,182,100.0,0.0
rayleigh,182,100.0,0.0
normal,183,100.0,0.0
binomial,183,100.0,0.0
exponential,183,100.0,0.0
poisson,183,100.0,0.0
laplace,183,100.0,0.0
logistic,183,100.0,0.0
uniform,183,100.0,0.0
rayleigh,183,99.0,1.0
normal,184,100.0,0.0
binomial,184,99.0,1.0
exponential,184,100.0,0.0
poisson,184,100.0,0.0
laplace,184,100.0,0.0
logistic,184,100.0,0.0
uniform,184,99.0,1.0
rayleigh,184,98.0,2.0
normal,185,98.0,2.0
binomial,185,99.0,1.0
exponential,185,98.0,2.0
poisson,185,99.0,1.0
laplace,185,100.0,0.0
logistic,185,99.0,1.0
uniform,185,99.0,1.0
rayleigh,185,99.0,1.0
normal,186,100.0,0.0
binomial,186,99.0,1.0
exponential,186,99.0,1.0
poisson,186,100.0,0.0
laplace,186,100.0,0.0
logistic,186,100.0,0.0
uniform,186,100.0,0.0
rayleigh,186,100.0,0.0
normal,187,99.0,1.0
binomial,187,100.0,0.0
exponential,187,99.0,1.0
poisson,187,99.0,1.0
laplace,187,99.0,1.0
logistic,187,98.0,2.0
uniform,187,99.0,1.0
rayleigh,187,99.0,1.0
normal,188,100.0,0.0
binomial,188,100.0,0.0
exponential,188,99.0,1.0
poisson,188,99.0,1.0
laplace,188,100.0,0.0
logistic,188,99.0,1.0
uniform,188,100.0,0.0
rayleigh,188,99.0,1.0
normal,189,99.0,1.0
binomial,189,99.0,1.0
exponential,189,100.0,0.0
poisson,189,98.0,2.0
laplace,189,99.0,1.0
logistic,189,100.0,0.0
uniform,189,100.0,0.0
rayleigh,189,99.0,1.0
normal,190,100.0,0.0
binomial,190,100.0,0.0
exponential,190,100.0,0.0
poisson,190,100.0,0.0
laplace,190,99.0,1.0
logistic,190,100.0,0.0
uniform,190,100.0,0.0
rayleigh,190,100.0,0.0
normal,191,100.0,0.0
binomial,191,100.0,0.0
exponential,191,99.0,1.0
poisson,191,99.0,1.0
laplace,191,100.0,0.0
logistic,191,100.0,0.0
uniform,191,100.0,0.0
rayleigh,191,97.0,3.0
normal,192,100.0,0.0
binomial,192,100.0,0.0
exponential,192,99.0,1.0
poisson,192,100.0,0.0
laplace,192,100.0,0.0
logistic,192,99.0,1.0
uniform,192,100.0,0.0
rayleigh,192,100.0,0.0
normal,193,100.0,0.0
binomial,193,100.0,0.0
exponential,193,98.0,2.0
poisson,193,100.0,0.0
laplace,193,99.0,1.0
logistic,193,97.0,3.0
uniform,193,99.0,1.0
rayleigh,193,100.0,0.0
normal,194,99.0,1.0
binomial,194,100.0,0.0
exponential,194,99.0,1.0
poisson,194,99.0,1.0
laplace,194,98.0,2.0
logistic,194,100.0,0.0
uniform,194,100.0,0.0
rayleigh,194,98.0,2.0
normal,195,99.0,1.0
binomial,195,100.0,0.0
exponential,195,98.0,2.0
poisson,195,100.0,0.0
laplace,195,100.0,0.0
logistic,195,100.0,0.0
uniform,195,100.0,0.0
rayleigh,195,100.0,0.0
normal,196,99.0,1.0
binomial,196,99.0,1.0
exponential,196,100.0,0.0
poisson,196,98.0,2.0
laplace,196,99.0,1.0
logistic,196,100.0,0.0
uniform,196,100.0,0.0
rayleigh,196,100.0,0.0
normal,197,99.0,1.0
binomial,197,99.0,1.0
exponential,197,100.0,0.0
poisson,197,100.0,0.0
laplace,197,100.0,0.0
logistic,197,100.0,0.0
uniform,197,98.0,2.0
rayleigh,197,100.0,0.0
normal,198,99.0,1.0
binomial,198,99.0,1.0
exponential,198,100.0,0.0
poisson,198,98.0,2.0
laplace,198,100.0,0.0
logistic,198,99.0,1.0
uniform,198,100.0,0.0
rayleigh,198,99.0,1.0
normal,199,100.0,0.0
binomial,199,100.0,0.0
exponential,199,99.0,1.0
poisson,199,100.0,0.0
laplace,199,100.0,0.0
logistic,199,100.0,0.0
uniform,199,99.0,1.0
rayleigh,199,100.0,0.0
normal,200,100.0,0.0
binomial,200,99.0,1.0
exponential,200,100.0,0.0
poisson,200,100.0,0.0
laplace,200,100.0,0.0
logistic,200,100.0,0.0
uniform,200,100.0,0.0
rayleigh,200,100.0,0.0
normal,201,98.0,2.0
binomial,201,100.0,0.0
exponential,201,99.0,1.0
poisson,201,100.0,0.0
laplace,201,100.0,0.0
logistic,201,100.0,0.0
uniform,201,99.0,1.0
rayleigh,201,100.0,0.0
normal,202,99.0,1.0
binomial,202,100.0,0.0
exponential,202,100.0,0.0
poisson,202,100.0,0.0
laplace,202,100.0,0.0
logistic,202,98.0,2.0
uniform,202,100.0,0.0
rayleigh,202,99.0,1.0
normal,203,100.0,0.0
binomial,203,98.0,2.0
exponential,203,100.0,0.0
poisson,203,100.0,0.0
laplace,203,100.0,0.0
logistic,203,100.0,0.0
uniform,203,99.0,1.0
rayleigh,203,100.0,0.0
normal,204,100.0,0.0
binomial,204,99.0,1.0
exponential,204,99.0,1.0
poisson,204,98.0,2.0
laplace,204,100.0,0.0
logistic,204,100.0,0.0
uniform,204,100.0,0.0
rayleigh,204,99.0,1.0
normal,205,100.0,0.0
binomial,205,100.0,0.0
exponential,205,100.0,0.0
poisson,205,100.0,0.0
laplace,205,100.0,0.0
logistic,205,100.0,0.0
uniform,205,100.0,0.0
rayleigh,205,100.0,0.0
normal,206,98.0,2.0
binomial,206,100.0,0.0
exponential,206,100.0,0.0
poisson,206,100.0,0.0
laplace,206,99.0,1.0
logistic,206,100.0,0.0
uniform,206,100.0,0.0
rayleigh,206,99.0,1.0
normal,207,99.0,1.0
binomial,207,98.0,2.0
exponential,207,98.0,2.0
poisson,207,100.0,0.0
laplace,207,100.0,0.0
logistic,207,100.0,0.0
uniform,207,99.0,1.0
rayleigh,207,99.0,1.0
normal,208,100.0,0.0
binomial,208,100.0,0.0
exponential,208,99.0,1.0
poisson,208,100.0,0.0
laplace,208,100.0,0.0
logistic,208,100.0,0.0
uniform,208,99.0,1.0
rayleigh,208,100.0,0.0
normal,209,100.0,0.0
binomial,209,98.0,2.0
exponential,209,100.0,0.0
poisson,209,100.0,0.0
laplace,209,100.0,0.0
logistic,209,100.0,0.0
uniform,209,98.0,2.0
rayleigh,209,100.0,0.0
normal,210,99.0,1.0
binomial,210,99.0,1.0
exponential,210,99.0,1.0
poisson,210,99.0,1.0
laplace,210,99.0,1.0
logistic,210,99.0,1.0
uniform,210,99.0,1.0
rayleigh,210,99.0,1.0
normal,211,100.0,0.0
binomial,211,100.0,0.0
exponential,211,100.0,0.0
poisson,211,100.0,0.0
laplace,211,100.0,0.0
logistic,211,100.0,0.0
uniform,211,99.0,1.0
rayleigh,211,99.0,1.0
normal,212,100.0,0.0
binomial,212,98.0,2.0
exponential,212,100.0,0.0
poisson,212,100.0,0.0
laplace,212,100.0,0.0
logistic,212,99.0,1.0
uniform,212,99.0,1.0
rayleigh,212,100.0,0.0
normal,213,100.0,0.0
binomial,213,100.0,0.0
exponential,213,100.0,0.0
poisson,213,100.0,0.0
laplace,213,100.0,0.0
logistic,213,100.0,0.0
uniform,213,100.0,0.0
rayleigh,213,99.0,1.0
normal,214,99.0,1.0
binomial,214,100.0,0.0
exponential,214,98.0,2.0
poisson,214,100.0,0.0
laplace,214,99.0,1.0
logistic,214,99.0,1.0
uniform,214,98.0,2.0
rayleigh,214,100.0,0.0
normal,215,100.0,0.0
binomial,215,98.0,2.0
exponential,215,99.0,1.0
poisson,215,100.0,0.0
laplace,215,100.0,0.0
logistic,215,100.0,0.0
uniform,215,100.0,0.0
rayleigh,215,98.0,2.0
normal,216,100.0,0.0
binomial,216,100.0,0.0
exponential,216,99.0,1.0
poisson,216,100.0,0.0
laplace,216,100.0,0.0
logistic,216,100.0,0.0
uniform,216,97.0,3.0
rayleigh,216,100.0,0.0
normal,217,100.0,0.0
binomial,217,100.0,0.0
exponential,217,98.0,2.0
poisson,217,100.0,0.0
laplace,217,98.0,2.0
logistic,217,100.0,0.0
uniform,217,98.0,2.0
rayleigh,217,99.0,1.0
normal,218,100.0,0.0
binomial,218,99.0,1.0
exponential,218,99.0,1.0
poisson,218,99.0,1.0
laplace,218,100.0,0.0
logistic,218,100.0,0.0
uniform,218,100.0,0.0
rayleigh,218,100.0,0.0
normal,219,100.0,0.0
binomial,219,100.0,0.0
exponential,219,100.0,0.0
poisson,219,100.0,0.0
laplace,219,100.0,0.0
logistic,219,99.0,1.0
uniform,219,100.0,0.0
rayleigh,219,100.0,0.0
normal,220,99.0,1.0
binomial,220,97.0,3.0
exponential,220,100.0,0.0
poisson,220,100.0,0.0
laplace,220,100.0,0.0
logistic,220,100.0,0.0
uniform,220,100.0,0.0
rayleigh,220,100.0,0.0
normal,221,100.0,0.0
binomial,221,100.0,0.0
exponential,221,99.0,1.0
poisson,221,100.0,0.0
laplace,221,100.0,0.0
logistic,221,99.0,1.0
uniform,221,100.0,0.0
rayleigh,221,99.0,1.0
normal,222,100.0,0.0
binomial,222,100.0,0.0
exponential,222,99.0,1.0
poisson,222,100.0,0.0
laplace,222,100.0,0.0
logistic,222,100.0,0.0
uniform,222,100.0,0.0
rayleigh,222,100.0,0.0
normal,223,99.0,1.0
binomial,223,100.0,0.0
exponential,223,100.0,0.0
poisson,223,99.0,1.0
laplace,223,100.0,0.0
logistic,223,99.0,1.0
uniform,223,99.0,1.0
rayleigh,223,99.0,1.0
normal,224,99.0,1.0
binomial,224,99.0,1.0
exponential,224,97.0,3.0
poisson,224,99.0,1.0
laplace,224,99.0,1.0
logistic,224,97.0,3.0
uniform,224,99.0,1.0
rayleigh,224,100.0,0.0
normal,225,100.0,0.0
binomial,225,100.0,0.0
exponential,225,100.0,0.0
poisson,225,100.0,0.0
laplace,225,100.0,0.0
logistic,225,100.0,0.0
uniform,225,100.0,0.0
rayleigh,225,100.0,0.0
normal,226,98.0,2.0
binomial,226,100.0,0.0
exponential,226,99.0,1.0
poisson,226,100.0,0.0
laplace,226,100.0,0.0
logistic,226,100.0,0.0
uniform,226,99.0,1.0
rayleigh,226,99.0,1.0
normal,227,100.0,0.0
binomial,227,100.0,0.0
exponential,227,100.0,0.0
poisson,227,100.0,0.0
laplace,227,100.0,0.0
logistic,227,100.0,0.0
uniform,227,99.0,1.0
rayleigh,227,100.0,0.0
normal,228,99.0,1.0
binomial,228,100.0,0.0
exponential,228,98.0,2.0
poisson,228,100.0,0.0
laplace,228,99.0,1.0
logistic,228,100.0,0.0
uniform,228,100.0,0.0
rayleigh,228,97.0,3.0
normal,229,100.0,0.0
binomial,229,100.0,0.0
exponential,229,99.0,1.0
poisson,229,98.0,2.0
laplace,229,99.0,1.0
logistic,229,100.0,0.0
uniform,229,100.0,0.0
rayleigh,229,99.0,1.0
normal,230,100.0,0.0
binomial,230,100.0,0.0
exponential,230,100.0,0.0
poisson,230,99.0,1.0
laplace,230,99.0,1.0
logistic,230,100.0,0.0
uniform,230,99.0,1.0
rayleigh,230,99.0,1.0
normal,231,100.0,0.0
binomial,231,99.0,1.0
exponential,231,99.0,1.0
poisson,231,100.0,0.0
laplace,231,97.0,3.0
logistic,231,99.0,1.0
uniform,231,99.0,1.0
rayleigh,231,98.0,2.0
normal,232,100.0,0.0
binomial,232,99.0,1.0
exponential,232,100.0,0.0
poisson,232,100.0,0.0
laplace,232,100.0,0.0
logistic,232,100.0,0.0
uniform,232,100.0,0.0
rayleigh,232,100.0,0.0
normal,233,100.0,0.0
binomial,233,99.0,1.0
exponential,233,99.0,1.0
poisson,233,99.0,1.0
laplace,233,100.0,0.0
logistic,233,98.0,2.0
uniform,233,100.0,0.0
rayleigh,233,100.0,0.0
normal,234,99.0,1.0
binomial,234,98.0,2.0
exponential,234,100.0,0.0
poisson,234,99.0,1.0
laplace,234,99.0,1.0
logistic,234,100.0,0.0
uniform,234,98.0,2.0
rayleigh,234,99.0,1.0
normal,235,100.0,0.0
binomial,235,100.0,0.0
exponential,235,100.0,0.0
poisson,235,100.0,0.0
laplace,235,100.0,0.0
logistic,235,100.0,0.0
uniform,235,100.0,0.0
rayleigh,235,100.0,0.0
normal,236,100.0,0.0
binomial,236,99.0,1.0
exponential,236,100.0,0.0
poisson,236,98.0,2.0
laplace,236,100.0,0.0
logistic,236,100.0,0.0
uniform,236,100.0,0.0
rayleigh,236,99.0,1.0
normal,237,100.0,0.0
binomial,237,100.0,0.0
exponential,237,100.0,0.0
poisson,237,100.0,0.0
laplace,237,100.0,0.0
logistic,237,100.0,0.0
uniform,237,99.0,1.0
rayleigh,237,99.0,1.0
normal,238,99.0,1.0
binomial,238,100.0,0.0
exponential,238,100.0,0.0
poisson,238,100.0,0.0
laplace,238,99.0,1.0
logistic,238,100.0,0.0
uniform,238,98.0,2.0
rayleigh,238,100.0,0.0
normal,239,99.0,1.0
binomial,239,99.0,1.0
exponential,239,100.0,0.0
poisson,239,100.0,0.0
laplace,239,100.0,0.0
logistic,239,100.0,0.0
uniform,239,100.0,0.0
rayleigh,239,100.0,0.0
normal,240,100.0,0.0
binomial,240,98.0,2.0
exponential,240,100.0,0.0
poisson,240,99.0,1.0
laplace,240,100.0,0.0
logistic,240,100.0,0.0
uniform,240,99.0,1.0
rayleigh,240,97.0,3.0
normal,241,100.0,0.0
binomial,241,96.0,4.0
exponential,241,98.0,2.0
poisson,241,100.0,0.0
laplace,241,100.0,0.0
logistic,241,100.0,0.0
uniform,241,99.0,1.0
rayleigh,241,99.0,1.0
normal,242,98.0,2.0
binomial,242,99.0,1.0
exponential,242,100.0,0.0
poisson,242,100.0,0.0
laplace,242,99.0,1.0
logistic,242,100.0,0.0
uniform,242,99.0,1.0
rayleigh,242,100.0,0.0
normal,243,100.0,0.0
binomial,243,100.0,0.0
exponential,243,100.0,0.0
poisson,243,100.0,0.0
laplace,243,99.0,1.0
logistic,243,100.0,0.0
uniform,243,100.0,0.0
rayleigh,243,100.0,0.0
normal,244,99.0,1.0
binomial,244,100.0,0.0
exponential,244,99.0,1.0
poisson,244,99.0,1.0
laplace,244,100.0,0.0
logistic,244,98.0,2.0
uniform,244,98.0,2.0
rayleigh,244,100.0,0.0
normal,245,98.0,2.0
binomial,245,99.0,1.0
exponential,245,100.0,0.0
poisson,245,100.0,0.0
laplace,245,100.0,0.0
logistic,245,99.0,1.0
uniform,245,100.0,0.0
rayleigh,245,100.0,0.0
normal,246,99.0,1.0
binomial,246,100.0,0.0
exponential,246,99.0,1.0
poisson,246,99.0,1.0
laplace,246,99.0,1.0
logistic,246,100.0,0.0
uniform,246,99.0,1.0
rayleigh,246,98.0,2.0
normal,247,99.0,1.0
binomial,247,99.0,1.0
exponential,247,99.0,1.0
poisson,247,100.0,0.0
laplace,247,100.0,0.0
logistic,247,100.0,0.0
uniform,247,100.0,0.0
rayleigh,247,100.0,0.0
normal,248,100.0,0.0
binomial,248,100.0,0.0
exponential,248,99.0,1.0
poisson,248,100.0,0.0
