Distribution,Doors,Won % switch, Won % non-switch
logistic,26,96.0,4.0
uniform,26,98.0,2.0
rayleigh,26,97.0,3.0
normal,27,88.0,12.0
binomial,27,94.0,6.0
exponential,27,91.0,9.0
poisson,27,94.0,6.0
laplace,27,98.0,2.0
logistic,27,98.0,2.0
uniform,27,98.0,2.0
rayleigh,27,96.0,4.0
normal,28,91.0,9.0
binomial,28,95.0,5.0
exponential,28,96.0,4.0
poisson,28,94.0,6.0
laplace,28,94.0,6.0
logistic,28,98.0,2.0
uniform,28,96.0,4.0
rayleigh,28,92.0,8.0
normal,29,93.0,7.000000000000001
binomial,29,96.0,4.0
exponential,29,92.0,8.0
poisson,29,93.0,7.000000000000001
laplace,29,94.0,6.0
logistic,29,94.0,6.0
uniform,29,95.0,5.0
rayleigh,29,99.0,1.0
normal,30,100.0,0.0
binomial,30,95.0,5.0
exponential,30,97.0,3.0
poisson,30,96.0,4.0
laplace,30,99.0,1.0
logistic,30,99.0,1.0
uniform,30,97.0,3.0
rayleigh,30,94.0,6.0
normal,31,95.0,5.0
binomial,31,96.0,4.0
exponential,31,94.0,6.0
poisson,31,98.0,2.0
laplace,31,98.0,2.0
logistic,31,93.0,7.000000000000001
uniform,31,96.0,4.0
rayleigh,31,97.0,3.0
normal,32,98.0,2.0
binomial,32,97.0,3.0
exponential,32,97.0,3.0
poisson,32,99.0,1.0
laplace,32,96.0,4.0
logistic,32,100.0,0.0
uniform,32,97.0,3.0
rayleigh,32,97.0,3.0
normal,33,95.0,5.0
binomial,33,97.0,3.0
exponential,33,98.0,2.0
poisson,33,98.0,2.0
laplace,33,97.0,3.0
logistic,33,96.0,4.0
uniform,33,98.0,2.0
rayleigh,33,93.0,7.000000000000001
normal,34,98.0,2.0
binomial,34,97.0,3.0
exponential,34,98.0,2.0
poisson,34,97.0,3.0
laplace,34,94.0,6.0
logistic,34,96.0,4.0
uniform,34,97.0,3.0
rayleigh,34,98.0,2.0
normal,35,98.0,2.0
binomial,35,97.0,3.0
exponential,35,97.0,3.0
poisson,35,94.0,6.0
laplace,35,97.0,3.0
logistic,35,91.0,9.0
uniform,35,97.0,3.0
rayleigh,35,99.0,1.0
normal,36,98.0,2.0
binomial,36,95.0,5.0
exponential,36,93.0,7.000000000000001
poisson,36,95.0,5.0
laplace,36,98.0,2.0
logistic,36,98.0,2.0
uniform,36,96.0,4.0
rayleigh,36,98.0,2.0
normal,37,95.0,5.0
binomial,37,100.0,0.0
exponential,37,98.0,2.0
poisson,37,97.0,3.0
laplace,37,95.0,5.0
logistic,37,96.0,4.0
uniform,37,97.0,3.0
rayleigh,37,96.0,4.0
normal,38,97.0,3.0
binomial,38,97.0,3.0
exponential,38,98.0,2.0
poisson,38,100.0,0.0
laplace,38,99.0,1.0
logistic,38,98.0,2.0
uniform,38,99.0,1.0
rayleigh,38,97.0,3.0
normal,39,97.0,3.0
binomial,39,97.0,3.0
exponential,39,100.0,0.0
poisson,39,91.0,9.0
laplace,39,97.0,3.0
logistic,39,99.0,1.0
uniform,39,97.0,3.0
rayleigh,39,100.0,0.0
normal,40,94.0,6.0
binomial,40,96.0,4.0
exponential,40,99.0,1.0
poisson,40,99.0,1.0
laplace,40,96.0,4.0
logistic,40,98.0,2.0
uniform,40,94.0,6.0
rayleigh,40,99.0,1.0
normal,41,100.0,0.0
binomial,41,99.0,1.0
exponential,41,93.0,7.000000000000001
poisson,41,96.0,4.0
laplace,41,99.0,1.0
logistic,41,98.0,2.0
uniform,41,96.0,4.0
rayleigh,41,99.0,1.0
normal,42,98.0,2.0
binomial,42,97.0,3.0
exponential,42,97.0,3.0
poisson,42,95.0,5.0
laplace,42,98.0,2.0
logistic,42,96.0,4.0
uniform,42,96.0,4.0
rayleigh,42,96.0,4.0
normal,43,97.0,3.0
binomial,43,94.0,6.0
exponential,43,99.0,1.0
poisson,43,98.0,2.0
laplace,43,96.0,4.0
logistic,43,97.0,3.0
uniform,43,98.0,2.0
rayleigh,43,97.0,3.0
normal,44,97.0,3.0
binomial,44,99.0,1.0
exponential,44,94.0,6.0
poisson,44,98.0,2.0
laplace,44,98.0,2.0
logistic,44,99.0,1.0
uniform,44,97.0,3.0
rayleigh,44,98.0,2.0
normal,45,97.0,3.0
binomial,45,99.0,1.0
exponential,45,97.0,3.0
poisson,45,98.0,2.0
laplace,45,96.0,4.0
logistic,45,97.0,3.0
uniform,45,96.0,4.0
rayleigh,45,100.0,0.0
normal,46,98.0,2.0
binomial,46,97.0,3.0
exponential,46,98.0,2.0
poisson,46,98.0,2.0
laplace,46,95.0,5.0
logistic,46,96.0,4.0
uniform,46,100.0,0.0
rayleigh,46,100.0,0.0
normal,47,97.0,3.0
binomial,47,98.0,2.0
exponential,47,99.0,1.0
poisson,47,100.0,0.0
laplace,47,98.0,2.0
logistic,47,99.0,1.0
uniform,47,96.0,4.0
rayleigh,47,97.0,3.0
normal,48,97.0,3.0
binomial,48,96.0,4.0
exponential,48,94.0,6.0
poisson,48,97.0,3.0
laplace,48,98.0,2.0
logistic,48,98.0,2.0
uniform,48,97.0,3.0
rayleigh,48,99.0,1.0
normal,49,93.0,7.000000000000001
binomial,49,99.0,1.0
exponential,49,97.0,3.0
poisson,49,100.0,0.0
laplace,49,96.0,4.0
logistic,49,97.0,3.0
uniform,49,97.0,3.0
rayleigh,49,97.0,3.0
normal,50,98.0,2.0
binomial,50,97.0,3.0
exponential,50,96.0,4.0
poisson,50,95.0,5.0
laplace,50,100.0,0.0
logistic,50,96.0,4.0
uniform,50,95.0,5.0
rayleigh,50,98.0,2.0
normal,51,98.0,2.0
binomial,51,99.0,1.0
exponential,51,97.0,3.0
poisson,51,99.0,1.0
laplace,51,98.0,2.0
logistic,51,99.0,1.0
uniform,51,97.0,3.0
rayleigh,51,96.0,4.0
normal,52,95.0,5.0
binomial,52,94.0,6.0
exponential,52,98.0,2.0
poisson,52,98.0,2.0
laplace,52,99.0,1.0
logistic,52,99.0,1.0
uniform,52,99.0,1.0
rayleigh,52,98.0,2.0
normal,53,100.0,0.0
binomial,53,98.0,2.0
exponential,53,100.0,0.0
poisson,53,96.0,4.0
laplace,53,97.0,3.0
logistic,53,99.0,1.0
uniform,53,99.0,1.0
rayleigh,53,100.0,0.0
normal,54,99.0,1.0
binomial,54,97.0,3.0
exponential,54,96.0,4.0
poisson,54,95.0,5.0
laplace,54,99.0,1.0
logistic,54,99.0,1.0
uniform,54,99.0,1.0
rayleigh,54,98.0,2.0
normal,55,100.0,0.0
binomial,55,95.0,5.0
exponential,55,99.0,1.0
poisson,55,100.0,0.0
laplace,55,98.0,2.0
logistic,55,97.0,3.0
uniform,55,98.0,2.0
rayleigh,55,100.0,0.0
normal,56,99.0,1.0
binomial,56,100.0,0.0
exponential,56,96.0,4.0
poisson,56,98.0,2.0
laplace,56,99.0,1.0
logistic,56,99.0,1.0
uniform,56,98.0,2.0
rayleigh,56,100.0,0.0
normal,57,94.0,6.0
binomial,57,100.0,0.0
exponential,57,100.0,0.0
poisson,57,98.0,2.0
laplace,57,99.0,1.0
logistic,57,98.0,2.0
uniform,57,99.0,1.0
rayleigh,57,96.0,4.0
normal,58,95.0,5.0
binomial,58,98.0,2.0
exponential,58,97.0,3.0
poisson,58,100.0,0.0
laplace,58,92.0,8.0
logistic,58,97.0,3.0
uniform,58,99.0,1.0
rayleigh,58,100.0,0.0
normal,59,97.0,3.0
binomial,59,100.0,0.0
exponential,59,98.0,2.0
poisson,59,96.0,4.0
laplace,59,97.0,3.0
logistic,59,100.0,0.0
uniform,59,97.0,3.0
rayleigh,59,99.0,1.0
normal,60,99.0,1.0
binomial,60,98.0,2.0
exponential,60,100.0,0.0
poisson,60,95.0,5.0
laplace,60,99.0,1.0
logistic,60,97.0,3.0
uniform,60,98.0,2.0
rayleigh,60,97.0,3.0
normal,61,97.0,3.0
binomial,61,98.0,2.0
exponential,61,99.0,1.0
poisson,61,100.0,0.0
laplace,61,100.0,0.0
logistic,61,97.0,3.0
uniform,61,100.0,0.0
rayleigh,61,95.0,5.0
normal,62,98.0,2.0
binomial,62,99.0,1.0
exponential,62,99.0,1.0
poisson,62,100.0,0.0
laplace,62,97.0,3.0
logistic,62,99.0,1.0
uniform,62,98.0,2.0
rayleigh,62,98.0,2.0
normal,63,97.0,3.0
binomial,63,99.0,1.0
exponential,63,98.0,2.0
poisson,63,99.0,1.0
laplace,63,95.0,5.0
logistic,63,98.0,2.0
uniform,63,100.0,0.0
rayleigh,63,99.0,1.0
normal,64,97.0,3.0
binomial,64,97.0,3.0
exponential,64,99.0,1.0
poisson,64,98.0,2.0
laplace,64,98.0,2.0
logistic,64,98.0,2.0
uniform,64,97.0,3.0
rayleigh,64,97.0,3.0
normal,65,98.0,2.0
binomial,65,98.0,2.0
exponential,65,97.0,3.0
poisson,65,97.0,3.0
laplace,65,100.0,0.0
logistic,65,98.0,2.0
uniform,65,100.0,0.0
rayleigh,65,96.0,4.0
normal,66,99.0,1.0
binomial,66,100.0,0.0
exponential,66,100.0,0.0
poisson,66,99.0,1.0
laplace,66,98.0,2.0
logistic,66,98.0,2.0
uniform,66,100.0,0.0
rayleigh,66,100.0,0.0
normal,67,99.0,1.0
binomial,67,100.0,0.0
exponential,67,100.0,0.0
poisson,67,100.0,0.0
laplace,67,97.0,3.0
logistic,67,99.0,1.0
uniform,67,98.0,2.0
rayleigh,67,95.0,5.0
normal,68,97.0,3.0
binomial,68,98.0,2.0
exponential,68,99.0,1.0
poisson,68,98.0,2.0
laplace,68,97.0,3.0
logistic,68,97.0,3.0
uniform,68,97.0,3.0
rayleigh,68,98.0,2.0
normal,69,99.0,1.0
binomial,69,97.0,3.0
exponential,69,98.0,2.0
poisson,69,98.0,2.0
laplace,69,99.0,1.0
logistic,69,98.0,2.0
uniform,69,100.0,0.0
rayleigh,69,99.0,1.0
normal,70,97.0,3.0
binomial,70,96.0,4.0
exponential,70,98.0,2.0
poisson,70,100.0,0.0
laplace,70,99.0,1.0
logistic,70,99.0,1.0
uniform,70,98.0,2.0
rayleigh,70,100.0,0.0
normal,71,99.0,1.0
binomial,71,95.0,5.0
exponential,71,99.0,1.0
poisson,71,100.0,0.0
laplace,71,98.0,2.0
logistic,71,100.0,0.0
uniform,71,99.0,1.0
rayleigh,71,97.0,3.0
normal,72,98.0,2.0
binomial,72,98.0,2.0
exponential,72,96.0,4.0
poisson,72,99.0,1.0
laplace,72,100.0,0.0
logistic,72,98.0,2.0
uniform,72,99.0,1.0
rayleigh,72,99.0,1.0
normal,73,97.0,3.0
binomial,73,96.0,4.0
exponential,73,97.0,3.0
poisson,73,99.0,1.0
laplace,73,95.0,5.0
logistic,73,99.0,1.0
uniform,73,99.0,1.0
rayleigh,73,100.0,0.0
normal,74,100.0,0.0
binomial,74,98.0,2.0
exponential,74,98.0,2.0
poisson,74,98.0,2.0
laplace,74,98.0,2.0
logistic,74,99.0,1.0
uniform,74,99.0,1.0
rayleigh,74,97.0,3.0
normal,75,96.0,4.0
binomial,75,99.0,1.0
exponential,75,98.0,2.0
poisson,75,100.0,0.0
laplace,75,100.0,0.0
logistic,75,100.0,0.0
uniform,75,99.0,1.0
rayleigh,75,99.0,1.0
normal,76,95.0,5.0
binomial,76,96.0,4.0
exponential,76,98.0,2.0
poisson,76,100.0,0.0
laplace,76,97.0,3.0
logistic,76,95.0,5.0
uniform,76,98.0,2.0
rayleigh,76,100.0,0.0
normal,77,100.0,0.0
binomial,77,100.0,0.0
exponential,77,99.0,1.0
poisson,77,99.0,1.0
laplace,77,97.0,3.0
logistic,77,99.0,1.0
uniform,77,100.0,0.0
rayleigh,77,97.0,3.0
normal,78,97.0,3.0
binomial,78,97.0,3.0
exponential,78,96.0,4.0
poisson,78,99.0,1.0
laplace,78,97.0,3.0
logistic,78,99.0,1.0
uniform,78,99.0,1.0
rayleigh,78,99.0,1.0
normal,79,97.0,3.0
binomial,79,96.0,4.0
exponential,79,100.0,0.0
poisson,79,99.0,1.0
laplace,79,98.0,2.0
logistic,79,100.0,0.0
uniform,79,97.0,3.0
rayleigh,79,99.0,1.0
normal,80,99.0,1.0
binomial,80,98.0,2.0
exponential,80,98.0,2.0
poisson,80,97.0,3.0
laplace,80,100.0,0.0
logistic,80,97.0,3.0
uniform,80,98.0,2.0
rayleigh,80,100.0,0.0
normal,81,97.0,3.0
binomial,81,97.0,3.0
exponential,81,97.0,3.0
poisson,81,99.0,1.0
laplace,81,99.0,1.0
logistic,81,98.0,2.0
uniform,81,97.0,3.0
rayleigh,81,100.0,0.0
normal,82,98.0,2.0
binomial,82,98.0,2.0
exponential,82,99.0,1.0
poisson,82,99.0,1.0
laplace,82,99.0,1.0
logistic,82,100.0,0.0
uniform,82,100.0,0.0
rayleigh,82,100.0,0.0
normal,83,96.0,4.0
binomial,83,100.0,0.0
exponential,83,100.0,0.0
poisson,83,97.0,3.0
laplace,83,100.0,0.0
logistic,83,92.0,8.0
uniform,83,97.0,3.0
rayleigh,83,98.0,2.0
normal,84,100.0,0.0
binomial,84,98.0,2.0
exponential,84,98.0,2.0
poisson,84,97.0,3.0
laplace,84,100.0,0.0
logistic,84,97.0,3.0
uniform,84,100.0,0.0
rayleigh,84,97.0,3.0
