Distribution,Trials,Won % switch, Won % non-switch
laplace,202,50.4950495,49.5049505
logistic,202,37.12871287,62.87128713
uniform,202,38.11881188,61.88118812
rayleigh,202,67.32673267,32.67326733
normal,212,31.60377358,68.39622642
binomial,212,32.0754717,67.9245283
exponential,212,27.83018868,72.16981132
poisson,212,47.64150943,52.35849057
laplace,212,42.45283019,57.54716981
logistic,212,37.73584906,62.26415094
uniform,212,68.39622642,31.60377358
rayleigh,212,55.66037736,44.33962264
normal,222,62.16216216,37.83783784
binomial,222,39.18918919,60.81081081
exponential,222,54.5045045,45.4954955
poisson,222,65.76576577,34.23423423
laplace,222,33.33333333,66.66666667
logistic,222,42.34234234,57.65765766
uniform,222,65.76576577,34.23423423
rayleigh,222,59.45945946,40.54054054
normal,232,77.5862069,22.4137931
binomial,232,43.10344828,56.89655172
exponential,232,56.89655172,43.10344828
poisson,232,70.68965517,29.31034483
laplace,232,49.13793103,50.86206897
logistic,232,45.25862069,54.74137931
uniform,232,70.68965517,29.31034483
rayleigh,232,52.5862069,47.4137931
normal,242,29.75206612,70.24793388
binomial,242,35.95041322,64.04958678
exponential,242,42.56198347,57.43801653
poisson,242,55.37190083,44.62809917
laplace,242,50,50
logistic,242,63.63636364,36.36363636
uniform,242,57.85123967,42.14876033
rayleigh,242,32.23140496,67.76859504
normal,252,59.12698413,40.87301587
binomial,252,84.92063492,15.07936508
exponential,252,75.3968254,24.6031746
poisson,252,37.3015873,62.6984127
laplace,252,46.82539683,53.17460317
logistic,252,39.68253968,60.31746032
uniform,252,69.84126984,30.15873016
rayleigh,252,63.88888889,36.11111111
normal,262,41.98473282,58.01526718
binomial,262,64.50381679,35.49618321
exponential,262,44.27480916,55.72519084
poisson,262,27.09923664,72.90076336
laplace,262,54.58015267,45.41984733
logistic,262,38.16793893,61.83206107
uniform,262,62.97709924,37.02290076
rayleigh,262,67.55725191,32.44274809
normal,272,69.85294118,30.14705882
binomial,272,16.17647059,83.82352941
exponential,272,35.66176471,64.33823529
poisson,272,53.67647059,46.32352941
laplace,272,58.82352941,41.17647059
logistic,272,27.57352941,72.42647059
uniform,272,54.41176471,45.58823529
rayleigh,272,55.51470588,44.48529412
normal,282,65.60283688,34.39716312
binomial,282,30.14184397,69.85815603
exponential,282,47.16312057,52.83687943
poisson,282,69.85815603,30.14184397
laplace,282,74.11347518,25.88652482
logistic,282,30.85106383,69.14893617
uniform,282,47.16312057,52.83687943
rayleigh,282,68.08510638,31.91489362
normal,292,56.84931507,43.15068493
binomial,292,41.09589041,58.90410959
exponential,292,29.45205479,70.54794521
poisson,292,46.23287671,53.76712329
laplace,292,62.32876712,37.67123288
logistic,292,31.50684932,68.49315068
uniform,292,68.49315068,31.50684932
rayleigh,292,42.46575342,57.53424658
normal,302,28.14569536,71.85430464
binomial,302,31.12582781,68.87417219
exponential,302,38.41059603,61.58940397
poisson,302,33.11258278,66.88741722
laplace,302,71.52317881,28.47682119
logistic,302,36.09271523,63.90728477
uniform,302,62.58278146,37.41721854
rayleigh,302,48.01324503,51.98675497
normal,312,79.80769231,20.19230769
binomial,312,50.32051282,49.67948718
exponential,312,77.24358974,22.75641026
poisson,312,65.70512821,34.29487179
laplace,312,50,50
logistic,312,67.30769231,32.69230769
uniform,312,39.74358974,60.25641026
rayleigh,312,79.48717949,20.51282051
normal,322,69.25465839,30.74534161
binomial,322,44.09937888,55.90062112
exponential,322,48.44720497,51.55279503
poisson,322,54.65838509,45.34161491
laplace,322,43.47826087,56.52173913
logistic,322,68.94409938,31.05590062
uniform,322,36.02484472,63.97515528
rayleigh,322,78.88198758,21.11801242
normal,332,36.74698795,63.25301205
